GDPgrowth_1	IDdum1	IDdum2	IDdum3	IDdum4	IDdum5	IDdum6	IDdum7	IDdum8	IDdum9	IDdum10	IDdum11	IDdum12	IDdum13	IDdum14	IDdum15	IDdum16	IDdum17	IDdum18	IDdum19	IDdum20	IDdum21	IDdum22	IDdum23	IDdum24	IDdum25	IDdum26	IDdum27	IDdum28	IDdum29	IDdum30	IDdum31	IDdum32	IDdum33	IDdum34	IDdum35	IDdum36	IDdum37	IDdum38	IDdum39	IDdum40	IDdum41	IDdum42	IDdum43	IDdum44	IDdum45	IDdum46	IDdum47	IDdum48	IDdum49	IDdum50	IDdum51	IDdum52	IDdum53	IDdum54	IDdum55	IDdum56	IDdum57	IDdum58	IDdum59	IDdum60	IDdum61	IDdum62	IDdum63	IDdum64	IDdum65	IDdum66	IDdum67	IDdum68	IDdum69	IDdum70	IDdum71	IDdum72	IDdum73	IDdum74	IDdum75	IDdum76	IDdum77	IDdum78	IDdum79	IDdum80	IDdum81	IDdum82	IDdum83	IDdum84	IDdum85	IDdum86	IDdum87	IDdum88	IDdum89	IDdum90	IDdum91	IDdum92	IDdum93	IDdum94	IDdum95	IDdum96	IDdum97	IDdum98	IDdum99	IDdum100	IDdum101	IDdum102	IDdum103	IDdum104	IDdum105	IDdum106	IDdum107	IDdum108	IDdum109	IDdum110	IDdum111	IDdum112	IDdum113	IDdum114	IDdum115	IDdum116	IDdum117	IDdum118	IDdum119	IDdum120	IDdum121	IDdum122	IDdum123	IDdum124	IDdum125	IDdum126	IDdum127	IDdum128	IDdum129	IDdum130	IDdum131	IDdum132	IDdum133	IDdum134	IDdum135	IDdum136	IDdum137	IDdum138	IDdum139	IDdum140	IDdum141	IDdum142	IDdum143	IDdum144	IDdum145	IDdum146	IDdum147	IDdum148	IDdum149	IDdum150	IDdum151	IDdum152	IDdum153	IDdum154	IDdum155	IDdum156	IDdum157	IDdum158	IDdum159	IDdum160	IDdum161	IDdum162	IDdum163	IDdum164	IDdum165	IDdum166	IDdum167	IDdum168	IDdum169	Polity_1	country	dperiod1	dperiod2	dperiod3	dperiod4	dperiod5	dperiod6	dperiod7	id	logCMRwdi	logCMRwdi_1	logDEMYRS_1	logDen_1	logGDPcap_1	logHIV_1	logIMRunicef_1	logIMRwdi_1	period	smallstate	transition_1	logCMRunicef	logCMRwho	logIMRunicef	logIMRwdi	_merge
0.9499999	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	"AGO"		5.57973	0.0	1.8018571	7.477468	0.0	5.049856	5.062595	4	0.0	0.0	5.5645204	5.4293456	5.043425		3
4.05	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.0	2	0.0	0.0	0.0	0.0	1.0	0.0	0.0	"AGO"	5.560682		0.0	1.9653761	7.579246	0.65297604	5.043425		5	0.0	0.0	5.560682	5.332719	5.0369525	5.1119876	3
-5.422	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.4	2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	"AGO"	5.560682	5.560682	0.0	2.10869	7.344412	1.0446839	5.0369525	5.1119876	6	0.0	0.0	5.5412636	5.313157	5.0238805	5.1474943	3
7.362	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	"AGO"	5.560682	5.560682	0.0	2.2675796	7.1749706	1.5443659	5.0238805	5.1474943	7	0.0	0.0	5.5174527		5.0106354	5.1474943	3
	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.0	143	1.0	0.0	0.0	0.0	0.0	0.0	0.0	"ALB"	4.65396	4.65396							1	0.0	0.0	4.406719	4.26268	4.2195077	4.4188404	3
	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.0	143	0.0	1.0	0.0	0.0	0.0	0.0	0.0	"ALB"		4.65396	0.0	4.4041		0.0	4.2195077	4.4188404	2	0.0	0.0		4.158883			3
	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.0	143	0.0	0.0	1.0	0.0	0.0	0.0	0.0	"ALB"	4.189655		0.0	4.516718		0.0			3	0.0	0.0	4.0430512	4.1271343	3.8501475	4.0253515	3
2.1375	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.0	143	0.0	0.0	0.0	1.0	0.0	0.0	0.0	"ALB"		4.189655	0.0	4.6199684		0.0	3.8501475	4.0253515	4	0.0	0.0		4.1108737			3
3.01	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.0	143	0.0	0.0	0.0	0.0	1.0	0.0	0.0	"ALB"	3.7376697		0.0	4.723268					5	0.0	0.0	3.8066626	4.0775375	3.583519	3.583519	3
-5.052	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	143	0.0	0.0	0.0	0.0	0.0	1.0	0.0	"ALB"	3.4965076	3.7376697	1.3862944	4.765975	7.7764106		3.583519	3.583519	6	0.0	1.0	3.5553482	4.016342	3.4011974	3.3672957	3
